Row,Column,Value
1996,Nuclear Generation - TWh,2406.801052
1996,Oil Consumption - TWh,40380.49722
1996,Solar Generation - TWh,0.705207972
1996,Wind Generation -TWh,9.204600661
1997,Coal Consumption - TWh,26526.83373
1997,Gas Consumption - TWh,22034.35536
1997,Geo Biomass Other - TWh,161.2867418
1997,Hydro Generation - TWh,2566.13537
1997,Nuclear Generation - TWh,2390.276558
1997,Oil Consumption - TWh,41413.25827
1997,Solar Generation - TWh,0.756584792
1997,Wind Generation -TWh,12.01781647
1998,Coal Consumption - TWh,26359.57805
1998,Gas Consumption - TWh,22437.92054
1998,Geo Biomass Other - TWh,168.7621089
1998,Hydro Generation - TWh,2586.942015
1998,Nuclear Generation - TWh,2431.38043
1998,Oil Consumption - TWh,41624.43191
1998,Solar Generation - TWh,0.831788965
1998,Wind Generation -TWh,15.92126027
1999,Coal Consumption - TWh,26521.91421
1999,Gas Consumption - TWh,23075.97979
1999,Geo Biomass Other - TWh,177.3933583
1999,Hydro Generation - TWh,2605.676465
1999,Nuclear Generation - TWh,2524.361484
1999,Oil Consumption - TWh,42371.38362
1999,Solar Generation - TWh,0.916196899
1999,Wind Generation -TWh,21.21617401
2000,Coal Consumption - TWh,27417.31293
2000,Gas Consumption - TWh,23999.88706
2000,Geo Biomass Other - TWh,186.0551694
2000,Hydro Generation - TWh,2651.961722
2000,Nuclear Generation - TWh,2580.899081
2000,Oil Consumption - TWh,42897.19087
2000,Solar Generation - TWh,1.120230397
2000,Wind Generation -TWh,31.42090656
2001,Coal Consumption - TWh,27852.50373
2001,Gas Consumption - TWh,24330.94665
2001,Geo Biomass Other - TWh,191.8840767
2001,Hydro Generation - TWh,2583.887448
2001,Nuclear Generation - TWh,2653.767774
2001,Oil Consumption - TWh,43278.15657
2001,Solar Generation - TWh,1.400820679
2001,Wind Generation -TWh,38.39092395
2002,Coal Consumption - TWh,28944.64346
2002,Gas Consumption - TWh,25052.89903
2002,Geo Biomass Other - TWh,206.3611148
2002,Hydro Generation - TWh,2631.846503
2002,Nuclear Generation - TWh,2696.170555
2002,Oil Consumption - TWh,43639.20697
2002,Solar Generation - TWh,1.763901131
2002,Wind Generation -TWh,52.33175399
2003,Coal Consumption - TWh,31496.50881
2003,Gas Consumption - TWh,25752.01131
2003,Geo Biomass Other - TWh,217.925451
2003,Hydro Generation - TWh,2627.603541
2003,Nuclear Generation - TWh,2641.568435
2003,Oil Consumption - TWh,44609.51649
2003,Solar Generation - TWh,2.258381155
2003,Wind Generation -TWh,62.9169673
2004,Coal Consumption - TWh,33664.34113
2004,Gas Consumption - TWh,26735.57302
2004,Geo Biomass Other - TWh,235.2839187
2004,Hydro Generation - TWh,2820.744259
2004,Nuclear Generation - TWh,2761.605227
2004,Oil Consumption - TWh,46255.70684
2004,Solar Generation - TWh,2.974844218
2004,Wind Generation -TWh,85.11716443
2005,Coal Consumption - TWh,36170.7856
2005,Gas Consumption - TWh,27463.91843
2005,Geo Biomass Other - TWh,254.58886
2005,Hydro Generation - TWh,2916.350043
2005,Nuclear Generation - TWh,2768.867851
2005,Oil Consumption - TWh,46824.24996
2005,Solar Generation - TWh,4.165617658
2005,Wind Generation -TWh,104.0858518
2006,Coal Consumption - TWh,38070.67412
2006,Gas Consumption - TWh,28175.65204
2006,Geo Biomass Other - TWh,271.6939603
2006,Hydro Generation - TWh,3027.6737
2006,Nuclear Generation - TWh,2803.366447
2006,Oil Consumption - TWh,47366.83145
2006,Solar Generation - TWh,5.721248865
2006,Wind Generation -TWh,132.859188
2007,Coal Consumption - TWh,40223.62426
2007,Gas Consumption - TWh,29323.69724
2007,Geo Biomass Other - TWh,294.7842971
2007,Hydro Generation - TWh,3079.335005
2007,Nuclear Generation - TWh,2746.239981
2007,Oil Consumption - TWh,47957.51642
2007,Solar Generation - TWh,7.770396103
2007,Wind Generation -TWh,170.7303482
2008,Coal Consumption - TWh,40770.48034
2008,Gas Consumption - TWh,30024.33013
2008,Geo Biomass Other - TWh,315.5032205
2008,Hydro Generation - TWh,3257.388377
2008,Nuclear Generation - TWh,2737.70771
2008,Oil Consumption - TWh,47565.64964
2008,Solar Generation - TWh,12.6436793
2008,Wind Generation -TWh,220.6497405
2009,Coal Consumption - TWh,40148.63267
2009,Gas Consumption - TWh,29411.02867
2009,Geo Biomass Other - TWh,339.6485263
2009,Hydro Generation - TWh,3252.497433
2009,Nuclear Generation - TWh,2698.983475
2009,Oil Consumption - TWh,46653.50493
2009,Solar Generation - TWh,20.97090868
2009,Wind Generation -TWh,276.0524678
2010,Coal Consumption - TWh,41997.23385
2010,Gas Consumption - TWh,31606.76609
2010,Geo Biomass Other - TWh,379.8760851
2010,Hydro Generation - TWh,3435.834609
2010,Nuclear Generation - TWh,2768.505889
2010,Oil Consumption - TWh,48087.13619
2010,Solar Generation - TWh,33.71477963
2010,Wind Generation -TWh,346.505761
2011,Coal Consumption - TWh,44018.0776
2011,Gas Consumption - TWh,32370.9944
2011,Geo Biomass Other - TWh,398.7356106
2011,Hydro Generation - TWh,3501.067816
2011,Nuclear Generation - TWh,2652.680581
2011,Oil Consumption - TWh,48549.97548
2011,Solar Generation - TWh,65.12359596
2011,Wind Generation -TWh,440.6170193
2012,Coal Consumption - TWh,44185.34465
2012,Gas Consumption - TWh,33220.03194
2012,Geo Biomass Other - TWh,430.7604911
2012,Hydro Generation - TWh,3649.72369
2012,Nuclear Generation - TWh,2470.805623
2012,Oil Consumption - TWh,49156.71994
2012,Solar Generation - TWh,100.8084042
2012,Wind Generation -TWh,530.8525503
2013,Coal Consumption - TWh,44993.46711
2013,Gas Consumption - TWh,33766.13901
2013,Geo Biomass Other - TWh,463.9883481
2013,Hydro Generation - TWh,3814.040241
2013,Nuclear Generation - TWh,2493.401425
2013,Oil Consumption - TWh,49688.51064
2013,Solar Generation - TWh,139.1152418
2013,Wind Generation -TWh,635.7742232
2014,Coal Consumption - TWh,44954.4351
2014,Gas Consumption - TWh,33994.27883
2014,Geo Biomass Other - TWh,500.9117139
2014,Hydro Generation - TWh,3894.178016
2014,Nuclear Generation - TWh,2541.138218
2014,Oil Consumption - TWh,50013.65412
2014,Solar Generation - TWh,197.8584283
2014,Wind Generation -TWh,706.4692489
2015,Coal Consumption - TWh,43844.17274
2015,Gas Consumption - TWh,34780.12074
2015,Geo Biomass Other - TWh,538.2774771
2015,Hydro Generation - TWh,3884.619692
2015,Nuclear Generation - TWh,2575.763561
2015,Oil Consumption - TWh,50891.9763
2015,Solar Generation - TWh,256.838045
2015,Wind Generation -TWh,831.5674395
2016,Coal Consumption - TWh,43195.63931
2016,Gas Consumption - TWh,35590.03583
2016,Geo Biomass Other - TWh,547.8659077
2016,Hydro Generation - TWh,4012.947981
2016,Nuclear Generation - TWh,2614.905286
2016,Oil Consumption - TWh,51920.15617
2016,Solar Generation - TWh,328.2374283
2016,Wind Generation -TWh,963.7740364
2017,Coal Consumption - TWh,43359.50847
2017,Gas Consumption - TWh,36585.64207
2017,Geo Biomass Other - TWh,582.8931323
2017,Hydro Generation - TWh,4065.869592
2017,Nuclear Generation - TWh,2638.554157
2017,Oil Consumption - TWh,52567.51992
2017,Solar Generation - TWh,446.9467639
2017,Wind Generation -TWh,1140.971268
2018,Coal Consumption - TWh,44109.46173
2018,Gas Consumption - TWh,38516.6509
2018,Geo Biomass Other - TWh,615.0382371
2018,Hydro Generation - TWh,4171.404951
2018,Nuclear Generation - TWh,2700.373917
2018,Oil Consumption - TWh,53181.12474
2018,Solar Generation - TWh,582.7543448
2018,Wind Generation -TWh,1270.16488
2019,Coal Consumption - TWh,43849.21477
2019,Gas Consumption - TWh,39292.46757
2019,Geo Biomass Other - TWh,651.8112107
2019,Hydro Generation - TWh,4222.214992
2019,Nuclear Generation - TWh,2795.961529
2019,Oil Consumption - TWh,53619.92467
2019,Solar Generation - TWh,724.0865061
2019,Wind Generation -TWh,1429.619982
